1 A-  prefix. (also an- before a vowel sound) not, without (amoral). [greek]
1768 Cadence  n. 1 rhythm; the measure or beat of a sound or movement. 2 fall in pitch of the voice. 3 tonal inflection. 4 close of a musical phrase. [latin cado fall]
1769 Cadenza  n. Virtuoso passage for a soloist. [italian: related to *cadence]
1770 Cadet  n. Young trainee for the armed services or police force.  cadetship n. [french, ultimately from latin caput head]
3413 D1  n. (also d) (pl. Ds or d's) 1 fourth letter of the alphabet. 2 mus. Second note of the diatonic scale of c major. 3 (as a roman numeral) 500. 4 = *dee. 5 fourth highest class or category (of academic marks etc.).
3414 D2  symb. Deuterium.
3415 D.  Abbr. 1 died. 2 departs. 3 daughter. 4 hist. (pre-decimal) penny. [sense 4 from latin *denarius]
3430 Damnable  adj. Hateful, annoying.  damnably adv.
3431 Damnation  -n. Eternal punishment in hell. -int. Expressing anger.
3432 Damned  colloq. -attrib. Adj. Damnable. -adv. Extremely (damned hot).  damned well = damn well. Do one's damnedest do one's utmost.
3438 Damsel  n. Archaic or literary young unmarried woman. [french diminutive: related to *dame]
3439 Damselfly  n. Insect like a dragonfly but with wings folded when resting.
3440 Damson  n. 1 (in full damson plum) small dark-purple plum. 2 dark-purple colour. [latin: related to *damascene]
3441 Dan  n. 1 grade of proficiency in judo. 2 holder of such a grade. [japanese]
4304 E1  n. (also e) (pl. Es or e's) 1 fifth letter of the alphabet. 2 mus. Third note of the diatonic scale of c major.
4305 E2  abbr. (also e.) 1 east, eastern. 2 see *e-number.
4306 E-  prefix. see *ex-1 before some consonants.
4307 Each  -adj. Every one of two or more persons or things, regarded separately (five in each class). -pron. Each person or thing (each of us). [old english]
4308 Each other  pron. One another.
4309 Each way  adj. (of a bet) backing a horse etc. To win or to come second or third.
4310 Eager  adj. Keen, enthusiastic (eager to learn; eager for news).  eagerly adv. Eagerness n. [latin acer keen]
4802 Espresso  n. (also expresso) (pl. -s) strong black coffee made under steam pressure.  [italian, = pressed out]
4803 Esprit  n. Sprightliness, wit.  esprit de corps devotion to and pride in one's group. [french: related to *spirit]
4804 Espy  v. (-ies, -ied) catch sight of. [french: related to *spy]
4805 Esq.  Abbr. Esquire.
4806 -esque  suffix forming adjectives meaning ‘in the style of’ or ‘resembling’ (kafkaesque). [french from latin -iscus]
4807 Esquire  n. 1 (usu. As abbr. Esq.) Title added to a man's surname when no other title is used, esp. As a form of address for letters. 2 archaic = *squire. [french from latin scutum shield]
4808 -ess  suffix forming nouns denoting females (actress; lioness). [greek -issa]
4809 Essay  -n. 1 short piece of writing on a given subject. 2 (often foll. By at, in) formal attempt. -v. Attempt.  essayist n. [latin exigo weigh: cf. *assay]
4810 Essence  n. 1 fundamental nature; inherent characteristics. 2 a extract got by distillation etc. B perfume.  of the essence indispensable. In essence fundamentally. [latin esse be]
4811 Et cetera  (also etcetera) -adv. 1 and the rest. 2 and so on. -n. (in pl.) The usual extras. [latin]
5779 Gaff2  n. Slang  blow the gaff reveal a plot or secret. [origin unknown]
5780 Gaffe  n. Blunder; indiscreet act or remark. [french]
5781 Gaffer  n. 1 old fellow. 2 colloq. Foreman, boss. 3 chief electrician in a film or television production unit. [probably from *godfather]
5783 Gaga  adj. Slang 1 senile. 2 slightly crazy. [french]
5784 Gage1  n. 1 pledge; thing deposited as security. 2 symbol of a challenge to fight, esp. A glove thrown down. [germanic: related to *wed, *wage]
6369 Habitable  adj. Suitable for living in.  habitability n. [latin habito inhabit]
6370 Habitat  n. Natural home of an animal or plant. [latin, = it dwells]
6371 Habitation  n. 1 inhabiting (fit for habitation). 2 house or home.
6372 Habit-forming  adj. Causing addiction.
6373 Hagridden  adj. Afflicted by nightmares or anxieties.
6374 Hah  var. Of *ha1.
6375 Ha ha  int. Representing laughter (iron. When spoken). [old english]
6376 Ha-ha  n. Ditch with a wall in it, forming a boundary or fence without interrupting the view. [french]
6377 Hahnium  n. Artificially produced radioactive element. [hahn, name of a chemist]
6378 Haiku  n. (pl. Same) japanese three-part poem of usu. 17 syllables. [japanese]
6379 Hail1  -n. 1 pellets of frozen rain. 2 (foll. By of) barrage or onslaught. -v. 1 a (prec. By it as subject) hail falls. B come down forcefully. 2 pour down (blows, words, etc.). [old english]
7390 -ible  suffix forming adjectives meaning ‘that may or may be’ (forcible; possible). [latin]
7391 -ibly  suffix forming adverbs corresponding to adjectives in -ible.
7392 Ibo  n. (also igbo) (pl. Same or -s) 1 member of a black people of se nigeria. 2 their language. [native name]
7393 -ic  suffix 1 forming adjectives (arabic; classic; public) and nouns (critic; epic; mechanic; music). 2 combined in higher valence or degree of oxidation (ferric; sulphuric). [latin -icus, greek -ikos]
7394 -ical  suffix forming adjectives corresponding to nouns or adjectives in -ic or -y (classical; historical).
7396 Ice age  n. Glacial period.
7397 Ice-axe  n. Cutting tool used by mountaineers.
7398 Iceberg  n. Large floating mass of ice.  the tip of the iceberg small perceptible part of something very large or complex. [dutch]
7399 Iceberg lettuce  n. Crisp type of round lettuce.
8053 Jacquard  n. 1 apparatus with perforated cards, for weaving figured fabrics. 2 (in full jacquard loom) loom with this. 3 fabric or article so made. [name of its inventor]
8054 Jacuzzi  n. (pl. -s) propr. Large bath with massaging underwater jets of water. [name of its inventor and manufacturers]
8055 Jade1  n. 1 hard usu. Green stone used for ornaments etc. 2 green colour of jade. [spanish ijada from latin ilia flanks (named as a cure for colic)]
8056 Jade2  n. 1 inferior or worn-out horse. 2 derog. Disreputable woman. [origin unknown]
8057 Jaded  adj. Tired out; surfeited.
8058 J'adoube  int. Chess declaration of the intention to adjust a piece without moving it. [french, = i adjust]
8060 Jag2  n. Slang 1 drinking bout. 2 period of indulgence in an activity, emotion, etc. [originally dial., = load]
8061 Jagged  adj. 1 unevenly cut or torn. 2 deeply indented.  jaggedly adv. Jaggedness n.
8062 Jaguar  n. Large american flesh-eating spotted animal of the cat family. [tupi]
8218 K1  n. (also k) (pl. Ks or k's) eleventh letter of the alphabet.
8219 K2  abbr. (also k.) 1 kelvin(s). 2 king, king's. 3 köchel (catalogue of mozart's works). 4 (also k) (prec. By a numeral) a computing unit of 1,024 (i.e. 210) bytes or bits, or loosely 1,000. B 1,000. [sense 4 as abbreviation of *kilo-]
8220 K3  symb. Potassium. [latin kalium]
8221 K  abbr. 1 kilo-. 2 knot(s).
8222 Kaffir  n. 1 hist. Member or language of a s. African people of the bantu family. 2 s.afr. Offens. Any black african. [arabic, = infidel]
8223 Kafkaesque  adj. Impenetrably oppressive or nightmarish, as in the fiction of franz kafka.
8224 Kaftan  var. Of *caftan.
8225 Kaiser  n. Hist. Emperor, esp. Of germany, austria, or the holy roman empire. [latin *caesar]
8226 Kalashnikov  n. Type of soviet rifle or sub-machine-gun. [russian]
8227 Kale  n. Variety of cabbage, esp. With wrinkled leaves and no heart. [northern var. Of *cole]
8228 Kaleidoscope  n. 1 tube containing mirrors and pieces of coloured glass etc. Producing changing reflected patterns when shaken. 2 constantly changing pattern, group, etc.  kaleidoscopic adj. [greek kalos beautiful, eidos form, *-scope]
8229 Kalends  var. Of *calends.
8230 Kaleyard  n. Scot. Kitchen garden.
8368 Labour camp  n. Prison camp enforcing a regime of hard labour.
8369 Labour day  n. May 1 (or in the us and canada the first monday in september), celebrated in honour of working people.
8370 Labourer  n. (us laborer) person doing unskilled, usu. Manual, work for wages.
8371 Labour exchange  n. Colloq. Or hist. Employment exchange.
8372 Labour party  n. Political party formed to represent the interests of working people.
8373 Labour-saving  adj. Designed to reduce or eliminate work.
8374 Labrador  n. Retriever of a breed with a black or golden coat. [labrador in canada]
8375 Laburnum  n. Tree with drooping golden flowers yielding poisonous seeds. [latin]
8376 Labyrinth  n. 1 complicated network of passages etc. 2 intricate or tangled arrangement. 3 the complex structure of the inner ear.  labyrinthine adj. [latin from greek]
8377 Lac  n. Resinous substance secreted as a protective covering by a se asian insect. [hindustani]
8379 Lacerate  v. (-ting) 1 mangle or tear (esp. Flesh etc.). 2 cause pain to (the feelings etc.).  laceration n. [latin lacer torn]
8380 Lace-up  -n. Shoe fastened with a lace. -attrib. Adj. (of a shoe etc.) Fastened by a lace or laces.
8969 Mace1  n. 1 staff of office, esp. Symbol of the speaker's authority in the house of commons. 2 person bearing this. [french from romanic]
8970 Mace2  n. Dried outer covering of the nutmeg as a spice. [latin macir]
8971 Macédoine  n. Mixed vegetables or fruit, esp. Diced or jellied. [french]
8972 Macerate  v. (-ting) 1 soften by soaking. 2 waste away by fasting.  maceration n. [latin]
8973 Mach  n. (in full mach number) ratio of the speed of a body to the speed of sound in the surrounding medium. [mach, name of a physicist]
8974 Machete  n. Broad heavy knife, esp. Of central america. [spanish from latin]
8975 Machiavellian  adj. Elaborately cunning; scheming, unscrupulous.  machiavellianism n.  [machiavelli, name of a political writer]
8976 Machination  n. (usu. In pl.) Plot, intrigue.  machinate v. (-ting). [latin: related to *machine]
9983 Nadir  n. 1 part of the celestial sphere directly below an observer. 2 lowest point; time of deep despair. [arabic, = opposite]
9984 Naevus  n. (us nevus) (pl. Naevi) 1 raised red birthmark. 2 = *mole2. [latin]
9985 Naff  adj. Slang 1 unfashionable. 2 rubbishy. [origin unknown]
9986 Nag1  v. (-gg-) 1 a persistently criticize or scold. B (often foll. By at) find fault or urge, esp. Persistently. 2 (of a pain) be persistent. [originally a dial. Word]
9987 Nag2  n. Colloq. Horse. [origin unknown]
9988 Naiad  n. Water-nymph. [latin from greek]
9990 Nail-file  n. Roughened metal or emery strip used for smoothing the nails.
9991 Nail polish  n. (also nail varnish) varnish, usu. Coloured, applied to the nails.
10318 Obey  v. 1 a carry out the command of. B carry out (a command). 2 do what one is told to do. 3 be actuated by (a force or impulse). [latin obedio from audio hear]
10319 Obfuscate  v. (-ting) 1 obscure or confuse (a mind, topic, etc.). 2 stupefy, bewilder.  obfuscation n. [latin fuscus dark]
10320 Obituary  n. (pl. -ies) 1 notice of a death or deaths. 2 account of the life of a deceased person. 3 (attrib.) Of or serving as an obituary. [latin obitus death]
10322 Objectify  v. (-ies, -ied) present as an object; express in concrete form.
10323 Objection  n. 1 expression or feeling of opposition or disapproval. 2 objecting. 3 adverse reason or statement. [latin: related to *object]
10324 Objectionable  adj. 1 unpleasant, offensive. 2 open to objection.  objectionably adv.
10751 P1  n. (also p) (pl. Ps or p's) sixteenth letter of the alphabet.
10752 P2  abbr. (also p.) 1 (on road signs) parking. 2 chess pawn. 3 proprietary.
10753 P3  symb.  Phosphorus.
10754 P  abbr. (also p.) 1 penny, pence. 2 page. 3 piano (softly).
10755 Pa  abbr. 1 personal assistant. 2 public address (system).
10756 Pa  symb.  Protactinium.
10757 Pa  n. Colloq. Father. [abbreviation of *papa]
10758 P.a.  Abbr. Per annum.
10759 Pabulum  n. Food, esp. For the mind. [latin]
10761 Pace2  prep. (in stating a contrary opinion) with due respect to (the person named). [latin, ablative of pax peace]
10762 Pace bowler  n. Cricket fast bowler.
10763 Pacemaker  n. 1 competitor who sets the pace in a race. 2 natural or artificial device for stimulating the heart muscle.
10764 Pace-setter  n. 1 leader. 2 = *pacemaker 1.
10765 Pachyderm  n. Thick-skinned mammal, esp. An elephant or rhinoceros.  pachydermatous adj. [greek pakhus thick, derma skin]
12230 Quadragesima  n. First sunday in lent. [latin quadragesimus fortieth]
12231 Quadrangle  n. 1 four-sided plane figure, esp. A square or rectangle. 2 four-sided court, esp. In colleges.  quadrangular adj. [latin: related to *quadri-, *angle1]
12233 Quadraphonic  adj. (of sound reproduction) using four transmission channels.  quadraphonically adv. Quadraphonics n.pl. [from *quadri-, *stereophonic]
12237 Quadriceps  n. Four-headed muscle at the front of the thigh. [from *quadri-, *biceps]
12239 Quadrille  n. 1 a kind of square dance. 2 music for this. [french]
12240 Quadriplegia  n.  Paralysis of all four limbs.  quadriplegic adj. & n. [from *quadri-, greek plege a blow]
12335 Racketeer  n. Person who operates a dishonest business.  racketeering n.
12336 Rack-rent  n. Extortionate rent.
12337 Raconteur  n. Teller of anecdotes. [french: related to *recount]
12338 Racoon  n. (also raccoon) (pl. Same or -s) 1 n. American mammal with a bushy tail and sharp snout. 2 its fur. [algonquian]
12339 Racquet  var. Of *racket1.
12340 Racy  adj. (-ier, -iest) 1 lively and vigorous in style. 2 risqué. 3 of distinctive quality (a racy wine).  raciness n. [from *race2]
12341 Rad  n. Unit of absorbed dose of ionizing radiation. [from radiation absorbed dose]
12342 Rada  abbr. Royal academy of dramatic art.
12343 Radar  n. 1 system for detecting the direction, range, or presence of objects, by sending out pulses of high frequency electromagnetic waves which they reflect. 2 apparatus for this. [from radio detection and ranging]
13251 Saboteur  n. Person who commits sabotage. [french]
13252 Sabre  n. (us saber) 1 curved cavalry sword. 2 light tapering fencing-sword. [french from german sabel]
13253 Sabre-rattling  n. Display or threat of military force.
13254 Sac  n. Membranous bag in an animal or plant. [latin: related to *sack1]
13255 Saccharin  n. A sugar substitute. [medieval latin saccharum sugar]
13256 Saccharine  adj. Excessively sentimental or sweet.
13257 Sacerdotal  adj. Of priests or priestly office. [latin sacerdos -dot- priest]
13258 Sachet  n. 1 small bag or packet containing shampoo etc. 2 small scented bag for perfuming drawers etc. [french diminutive: related to *sac]
13259 Sack1  -n. 1 a large strong bag for storage or conveyance. B quantity contained in a sack. 2 (prec. By the) colloq. Dismissal from employment. 3 (prec. By the) us slang bed. -v. 1 put into a sack or sacks. 2 colloq. Dismiss from employment. [latin saccus] 
13260 Sack2  -v. Plunder and destroy (a captured town etc.). -n. Such sacking. [french mettre à sac put in a sack]
15258 Tabard  n. 1 herald's official coat emblazoned with royal arms. 2 woman's or girl's sleeveless jerkin. 3 hist. Knight's short emblazoned garment worn over armour. [french]
15259 Tabasco  n. 1 pungent pepper. 2 (tabasco) propr. Sauce made from this. [tabasco in mexico]
15260 Tabby  n. (pl. -ies) 1  grey or brownish cat with dark stripes. 2 a kind of watered silk. [french from arabic]
15261 Tabernacle  n. 1 hist. Tent used as a sanctuary by the israelites during the exodus. 2 niche or receptacle, esp. For the eucharistic elements. 3 nonconformist meeting-house. [latin: related to *tavern]
15262 Tabla  n. Pair of small drums played with the hands, esp. In indian music. [arabic, = drum]
15264 Tactic  n. 1 tactical manoeuvre. 2 = *tactics. [greek from tasso arrange]
15265 Tactical  adj. 1 of tactics (tactical retreat). 2 (of bombing etc.) Done in direct support of military or naval operations. 3 adroitly planning or adroitly planned.  tactically adv.
15266 Tactics  n. l. 1 (also treated as sing.) Disposition of armed forces, esp. In warfare. 2 short-term procedure adopted in carrying out a scheme or achieving an end.  tactician n.
15267 Tactile  adj. 1 of the sense of touch. 2 perceived by touch; tangible.  tactility n. [latin: related to *tact]
15268 Tactless  adj. Having or showing no tact.  tactlessly adv.
15269 Tadpole  n. Larva, esp. Of a frog, toad, or newt. [related to *toad, *poll]
15270 Taffeta  n. Fine lustrous silk or silklike fabric. [french or medieval latin from persian]
16144 Unabridged  adj. Complete; not abridged.
16145 Unacademic  adj. (of a person, book, etc.) Not academic.
16146 Unacceptable  adj. Not acceptable.  unacceptably adv.
16147 Unaccompanied  adj. 1 not accompanied. 2 mus. Without accompaniment.
16148 Unaccomplished  adj. 1 uncompleted. 2 lacking accomplishments.
16149 Unaccountable  adj. 1 without explanation; strange. 2 not answerable for one's actions.  unaccountably adv.
16150 Unaccounted  adj. (often foll. By for) unexplained; excluded.
16151 Unaccustomed  adj. 1 (usu. Foll. By to) not accustomed. 2 unusual (unaccustomed silence).
16152 Unacknowledged  adj. Not acknowledged.
16153 Unacquainted  adj. (usu. Foll. By with) not acquainted.
16154 Unadopted  adj. (of a road) not maintained by a local authority.
16155 Unadorned  adj. Plain.
16156 Unadulterated  adj. 1 pure. 2 complete, utter.
16157 Unadventurous  adj. Not adventurous.
16158 Unadvised  adj. 1 indiscreet; rash. 2 without advice.  unadvisedly adv.
16159 Unaffected  adj. 1 (usu. Foll. By by) not affected. 2 free from affectation.  unaffectedly adv.
16160 Unaffiliated  adj. Not affiliated.
16675 Vacancy  n. (pl. -ies) 1 being vacant. 2 unoccupied job. 3 available room in a hotel etc.
16676 Vacant  adj. 1 not filled or occupied. 2 not mentally active; showing no interest.  vacantly adv. [latin: related to *vacate]
16677 Vacant possession  n. Ownership of an unoccupied house etc.
16678 Vacate  v. (-ting) leave vacant, cease to occupy (a house, post, etc.). [latin vaco be empty]
16679 Vacation  -n. 1 fixed holiday period, esp. In universities and lawcourts. 2 us holiday. 3 vacating or being vacated. -v. Us take a holiday. [latin: related to *vacate]
16680 Valium  n. Propr. Drug diazepam used as a tranquillizer. [origin uncertain]
16681 Valley  n. (pl. -s) low area between hills, usu. With a stream or river flowing through it. [french: related to *vale]
16682 Valor  n. (brit. Valour) courage, esp. In battle.  valorous adj. [latin valeo be strong]
16683 Valour  n. (us valor) courage, esp. In battle.  valorous adj. [latin valeo be strong]
16684 Valuable  -adj. Of great value, price, or worth. -n. (usu. In pl.) Valuable thing.  valuably adv.
16685 Valuation  n. 1 estimation (esp. Professional) of a thing's worth. 2 worth so estimated.
16928 Waistband  n. Strip of cloth forming the waist of a garment.
16929 Waistcoat  n. Close-fitting waist-length garment without sleeves or collar, worn usu. Over a shirt and under a jacket.
16930 Waist-deep  adj. & adv. (also waist-high) up to the waist.
16931 Waistline  n. Outline or size of a person's body at the waist.
16933 Waiter  n. Man who serves at table in a hotel or restaurant etc.
16934 Waiting game  n. The delaying of action in order to have a greater effect later.
16935 Waiting-list  n. List of people waiting for a thing not immediately available.
16936 Waiting-room  n. Room for people to wait in, esp. To see a doctor etc. Or at a station.
16937 Waitress  n. Woman who serves at table in a hotel or restaurant etc.
16938 Waive  v. (-ving) refrain from insisting on or using (a right, claim, opportunity, etc.). [anglo-french weyver: related to *waif]
16939 Waiver  n. Law 1 waiving of a legal right etc. 2 document recording this.
17449 Yale lock  n. Propr. Type of lock with a revolving barrel, used for doors etc. [yale, name of its inventor]
17450 Yam  n. 1 a tropical or subtropical climbing plant. B edible starchy tuber of this. 2 us sweet potato. [portuguese or spanish]
17451 Yammer  colloq. Or dial. -n. 1 lament, wail, grumble. 2 voluble talk. -v. Utter a yammer. [old english]
17452 Yang  n. (in chinese philosophy) the active male principle of the universe (cf. *yin).
17453 Yank  n. Colloq. Often derog. American. [abbreviation of *yankee]
17454 Yank  v. & n. Colloq. Pull with a jerk. [origin unknown]
17455 Yankee  n. Colloq. 1 often derog. = *yank. 2 us inhabitant of new england or of the northern states. [origin uncertain: perhaps from dutch janke, diminutive of jan john, as a nickname]
17457 Yarborough  n. Whist or bridge hand with no card above a 9. [earl of yarborough, said to have betted against it]
17458 Yard1  n. 1 unit of linear measure (3 ft., 0.9144 metre). 2 this length of material. 3 square or cubic yard. 4 spar slung across a mast for a sail to hang from. 5 (in pl.; foll. By of) colloq. A great length. [old english, = stick]
17459 Yard2  n. 1 piece of enclosed ground, esp. Attached to a building or used for a particular purpose. 2 us & austral. Garden of a house. [old english, = enclosure]
17460 Yardage  n. Number of yards of material etc.
17514 Zebra crossing  n. Striped street-crossing where pedestrians have precedence.
17515 Zebu  n. (pl. Same or -s) humped ox of asia and africa. [french]
17516 Zed  n. Letter z. [greek *zeta]
17517 Zee  n. Us letter z. [var. Of *zed]
17518 Zeitgeist  n. The spirit of the times. [german]
17519 Zen  n. Form of buddhism emphasizing meditation and intuition. [japanese, = meditation]
17520 Zend  n. An interpretation of the avesta. [persian]
17521 Zend-avesta  n. Zoroastrian sacred writings of the avesta (or text) and zend (or commentary).
17522 Zenith  n. 1 point of the heavens directly above an observer. 2 highest point (of power or prosperity etc.). [latin from arabic]
17523 Zephyr  n.  Literary mild gentle breeze.  [greek, = west wind]
17524 Zeppelin  n. Large dirigible german airship of the early 20th c. [count f. Von zeppelin, name of an airman]
17526 Zero option  n. Disarmament proposal for the total removal of certain types of weapons on both sides.
17527 Zero-rated  adj. On which no vat is charged.
17528 Zest  n. 1 piquancy; stimulating flavour or quality. 2 a keen enjoyment or interest. B (often foll. By for) relish. C gusto. 3 scraping of orange or lemon peel as flavouring.  zestful adj. Zestfully adv. [french]
17529 Zeta  n. Sixth letter of the greek alphabet (z, z). [greek]
17530 Zeugma  n. Figure of speech using a verb or adjective with two nouns, to one of which it is strictly applicable while the word appropriate to the other is not used (e.g. With weeping eyes and [sc. Grieving] hearts) (cf. *syllepsis). [greek, = a yoking, from zugon yoke]
